time,counts
20-Jan-2021 (22:38:45.793411),2147448082.9244
20-Jan-2021 (22:38:45.803888),2147448090.2406
20-Jan-2021 (22:38:47.536970),2147448099.0576
20-Jan-2021 (22:38:47.546981),2147448085.4393
20-Jan-2021 (22:38:49.348406),2147448072.7824
20-Jan-2021 (22:38:49.358395),2147448064.8544
20-Jan-2021 (22:38:51.162426),2147448075.3939
20-Jan-2021 (22:38:52.969297),2147448105.3083
20-Jan-2021 (22:38:52.980190),2147448089.0254
20-Jan-2021 (22:38:54.781577),2147448073.5059
20-Jan-2021 (22:38:54.791968),2147448078.3448
20-Jan-2021 (22:38:56.594381),2147448073.1849
20-Jan-2021 (22:38:58.333606),2147448073.0873
20-Jan-2021 (22:38:58.343580),2147448070.8521
20-Jan-2021 (22:39:00.145119),2147448094.741
20-Jan-2021 (22:39:00.156090),2147448084.9361
20-Jan-2021 (22:39:01.958708),2147448081.8694
20-Jan-2021 (22:39:03.766071),2147448095.9678
20-Jan-2021 (22:39:03.776044),2147448091.4972
20-Jan-2021 (22:39:05.578289),2147448097.1646
20-Jan-2021 (22:39:05.590257),2147448054.6132
20-Jan-2021 (22:39:07.321305),2147448074.2303
20-Jan-2021 (22:39:07.332502),2147448102.769
20-Jan-2021 (22:39:09.134393),2147448110.2148
20-Jan-2021 (22:39:10.942490),2147448079.1196
20-Jan-2021 (22:39:10.952292),2147448111.7967
20-Jan-2021 (22:39:12.754601),2147448090.2246
20-Jan-2021 (22:39:12.766045),2147448082.5897
20-Jan-2021 (22:39:14.568277),2147448096.3879
20-Jan-2021 (22:39:16.305789),2147448077.7668
20-Jan-2021 (22:39:16.315802),2147448068.8961
20-Jan-2021 (22:39:18.117663),2147448069.0608
20-Jan-2021 (22:39:18.128634),2147448092.7783
20-Jan-2021 (22:39:19.932407),2147448116.3919
20-Jan-2021 (22:39:19.942261),2147448087.8921
20-Jan-2021 (22:39:21.743614),2147448086.0045
20-Jan-2021 (22:39:23.550948),2147448077.5737
20-Jan-2021 (22:39:23.561920),2147448070.292
20-Jan-2021 (22:39:25.294717),2147448071.3406
20-Jan-2021 (22:39:25.305688),2147448078.6664
20-Jan-2021 (22:39:27.107307),2147448072.8305
20-Jan-2021 (22:39:28.914051),2147448102.7163
20-Jan-2021 (22:39:28.924025),2147448076.018
20-Jan-2021 (22:39:30.727729),2147448071.2862
20-Jan-2021 (22:39:30.737883),2147448090.575
20-Jan-2021 (22:39:32.541017),2147448103.8867
20-Jan-2021 (22:39:32.552013),2147448101.9057
20-Jan-2021 (22:39:34.283295),2147448094.2975
20-Jan-2021 (22:39:36.089273),2147448130.1925
20-Jan-2021 (22:39:36.100209),2147448089.2791
20-Jan-2021 (22:39:37.902345),2147448051.6416
20-Jan-2021 (22:39:37.913540),2147448075.8425
20-Jan-2021 (22:39:39.716293),2147448096.8669
20-Jan-2021 (22:39:41.524354),2147448085.5946
20-Jan-2021 (22:39:41.535338),2147448087.4232
20-Jan-2021 (22:39:43.266447),2147448095.2683
20-Jan-2021 (22:39:43.277693),2147448108.3409
20-Jan-2021 (22:39:45.080581),2147448072.1954
20-Jan-2021 (22:39:46.887525),2147448072.9249
20-Jan-2021 (22:39:46.897493),2147448087.9082
20-Jan-2021 (22:39:48.700224),2147448078.0365
20-Jan-2021 (22:39:48.710233),2147448082.375
20-Jan-2021 (22:39:50.512188),2147448072.9453
20-Jan-2021 (22:39:50.522184),2147448134.2884
20-Jan-2021 (22:39:52.323484),2147448106.54
20-Jan-2021 (22:39:54.063875),2147448107.1981
20-Jan-2021 (22:39:54.079282),2147448131.385
20-Jan-2021 (22:39:55.877077),2147448102.6553
20-Jan-2021 (22:39:55.888048),2147448087.1616
20-Jan-2021 (22:39:57.689339),2147448118.8976
20-Jan-2021 (22:39:59.496499),2147448120.1917
20-Jan-2021 (22:39:59.508441),2147448088.557
20-Jan-2021 (22:40:01.309295),2147448116.1773
20-Jan-2021 (22:40:01.320266),2147448071.9028
20-Jan-2021 (22:40:03.051365),2147448071.938
20-Jan-2021 (22:40:03.061764),2147448084.0454
20-Jan-2021 (22:40:04.864851),2147448091.1909
20-Jan-2021 (22:40:06.671257),2147448094.0959
20-Jan-2021 (22:40:06.682231),2147448093.8014
20-Jan-2021 (22:40:08.485478),2147448103.9982
20-Jan-2021 (22:40:08.495451),2147448106.9169
20-Jan-2021 (22:40:10.297451),2147448112.7401
20-Jan-2021 (22:40:12.035271),2147448064.4507
20-Jan-2021 (22:40:12.046270),2147448102.973
20-Jan-2021 (22:40:13.848930),2147448088.528
20-Jan-2021 (22:40:13.859901),2147448114.987
20-Jan-2021 (22:40:15.661900),2147448083.4555
20-Jan-2021 (22:40:17.469130),2147448115.5895
20-Jan-2021 (22:40:17.479106),2147448117.9296
20-Jan-2021 (22:40:19.282234),2147448100.3534
20-Jan-2021 (22:40:19.292812),2147448100.986
20-Jan-2021 (22:40:21.024679),2147448092.6708
20-Jan-2021 (22:40:21.035650),2147448104.2869
20-Jan-2021 (22:40:22.838309),2147448060.4947
20-Jan-2021 (22:40:24.645200),2147448095.3828
20-Jan-2021 (22:40:24.656251),2147448109.2934
20-Jan-2021 (22:40:26.457464),2147448093.4587
20-Jan-2021 (22:40:26.467469),2147448090.96
20-Jan-2021 (22:40:28.271002),2147448113.3822
20-Jan-2021 (22:40:30.008391),2147448082.0778
20-Jan-2021 (22:40:30.019292),2147448095.8439
20-Jan-2021 (22:40:31.821524),2147448080.9678
20-Jan-2021 (22:40:31.832596),2147448064.3153
20-Jan-2021 (22:40:33.634590),2147448091.3401
20-Jan-2021 (22:40:33.645561),2147448089.6873
20-Jan-2021 (22:40:35.447242),2147448081.9167
20-Jan-2021 (22:40:37.254042),2147448064.8044
20-Jan-2021 (22:40:37.264045),2147448100.6834
20-Jan-2021 (22:40:38.998194),2147448086.1534
20-Jan-2021 (22:40:39.008199),2147448070.1208
20-Jan-2021 (22:40:40.810228),2147448056.1177
20-Jan-2021 (22:40:42.618168),2147448060.0548
20-Jan-2021 (22:40:42.628141),2147448090.2454
20-Jan-2021 (22:40:44.430146),2147448066.9806
20-Jan-2021 (22:40:44.440367),2147448096.1958
20-Jan-2021 (22:40:46.243327),2147448080.7945
20-Jan-2021 (22:40:48.049449),2147448055.108
20-Jan-2021 (22:40:48.059834),2147448066.9893
20-Jan-2021 (22:40:49.794422),2147448064.4962
20-Jan-2021 (22:40:49.804396),2147448084.9637
20-Jan-2021 (22:40:51.606474),2147448085.9874
20-Jan-2021 (22:40:51.616447),2147448076.2937
20-Jan-2021 (22:40:53.419233),2147448090.6257
20-Jan-2021 (22:40:55.227401),2147448069.7192
20-Jan-2021 (22:40:55.237385),2147448076.8591
20-Jan-2021 (22:40:57.040204),2147448060.2021
20-Jan-2021 (22:40:57.050564),2147448069.2485
20-Jan-2021 (22:40:58.782423),2147448099.7051
20-Jan-2021 (22:41:00.589256),2147448097.3067
20-Jan-2021 (22:41:00.599230),2147448051.4053
20-Jan-2021 (22:41:02.402253),2147448084.575
20-Jan-2021 (22:41:02.413197),2147448072.3598
20-Jan-2021 (22:41:04.215793),2147448073.6971
20-Jan-2021 (22:41:04.226608),2147448082.0626
20-Jan-2021 (22:41:06.029239),2147448082.4873
20-Jan-2021 (22:41:07.766410),2147448074.5569
20-Jan-2021 (22:41:07.776383),2147448080.4658
20-Jan-2021 (22:41:09.580076),2147448091.577
20-Jan-2021 (22:41:09.590049),2147448072.9336
20-Jan-2021 (22:41:11.392292),2147448058.9384
20-Jan-2021 (22:41:13.198404),2147448083.7484
20-Jan-2021 (22:41:13.209376),2147448065.9906
20-Jan-2021 (22:41:15.011375),2147448059.7136
20-Jan-2021 (22:41:15.021290),2147448087.8804
20-Jan-2021 (22:41:16.756304),2147448073.7942
20-Jan-2021 (22:41:18.563291),2147448096.7054
20-Jan-2021 (22:41:18.573261),2147448087.9304
20-Jan-2021 (22:41:20.375228),2147448058.6433
20-Jan-2021 (22:41:20.386199),2147448072.9252
20-Jan-2021 (22:41:22.187111),2147448047.6528
20-Jan-2021 (22:41:22.197085),2147448059.7831
20-Jan-2021 (22:41:24.000422),2147448067.2226
20-Jan-2021 (22:41:25.738860),2147448082.8948
